Draw Date,Draw#,Numbers,PowerBall,Multiplier,Jackpot,Wins,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
2010-01-02,886,13-16-19-20-33,6,,1284115.8,0.0,13,16,19,20,33
2010-01-06,887,20-28-32-33-36,7,,1632897.18,1.0,20,28,32,33,36
2010-01-09,888,2-7-9-15-23,8,,,,2,7,9,15,23
2010-01-13,889,3-6-7-21-26,9,,1000000.0,0.0,3,6,7,21,26
2010-01-16,890,8-19-22-23-26,6,,1000000.0,0.0,8,19,22,23,26
2010-01-20,891,7-9-19-23-31,1,,1269467.4,0.0,7,9,19,23,31
2010-01-23,892,5-10-15-27-32,9,,1637925.17,0.0,5,10,15,27,32
2010-01-27,893,4-5-11-13-30,3,,1953430.36,0.0,4,5,11,13,30
2010-01-30,894,10-11-21-29-32,6,,2415959.68,0.0,10,11,21,29,32
2010-02-03,895,2-4-9-25-31,1,,2807774.04,0.0,2,4,9,25,31
2010-02-06,896,2-3-9-15-31,2,,3350300.41,0.0,2,3,9,15,31
2010-02-10,897,10-14-19-28-29,10,,3869471.57,0.0,10,14,19,28,29
2010-02-13,898,1-13-15-23-32,8,,4544673.13,0.0,1,13,15,23,32
2010-02-17,899,1-8-9-16-23,1,,4989256.79,0.0,1,8,9,16,23
2010-02-20,900,2-9-13-20-27,9,,5861844.84,0.0,2,9,13,20,27
2010-02-24,901,8-18-23-26-34,1,,6833373.5,0.0,8,18,23,26,34
2010-02-27,902,1-4-28-32-36,8,,8220558.83,0.0,1,4,28,32,36
2010-03-03,903,4-5-17-21-25,2,,9784298.21,2.0,4,5,17,21,25
2010-03-06,904,7-9-16-21-35,6,,413835.76,0.0,7,9,16,21,35
2010-03-10,905,5-8-13-14-34,3,,722409.72,0.0,5,8,13,14,34
2010-03-13,906,4-16-23-28-36,7,,1121261.14,0.0,4,16,23,28,36
2010-03-17,907,7-9-11-14-26,5,,1450578.35,0.0,7,9,11,14,26
2010-03-20,908,5-14-23-28-32,5,,1889070.78,1.0,5,14,23,28,32
2010-03-24,909,17-18-25-26-30,5,,1000000.0,0.0,17,18,25,26,30
2010-03-27,910,11-15-25-29-33,9,,615311.91,0.0,11,15,25,29,33
2010-03-31,911,4-16-23-28-33,2,,1000000.0,0.0,4,16,23,28,33
2010-04-03,912,7-12-21-27-32,6,,1205111.23,0.0,7,12,21,27,32
2010-04-07,913,4-9-20-30-32,5,,1486809.15,0.0,4,9,20,30,32
2010-04-10,914,4-10-24-33-34,2,,1857921.78,0.0,4,10,24,33,34
2010-04-14,915,5-6-17-21-26,5,,2164125.4,1.0,5,6,17,21,26
2010-04-17,916,11-17-23-24-36,2,,1000000.0,0.0,11,17,23,24,36
2010-04-21,917,4-6-17-28-34,5,,1000000.0,0.0,4,6,17,28,34
2010-04-24,918,1-7-9-10-31,4,,1000000.0,0.0,1,7,9,10,31
2010-04-28,919,9-24-32-33-36,2,,1117150.42,0.0,9,24,32,33,36
2010-05-01,920,4-6-8-10-17,2,,1452219.06,0.0,4,6,8,10,17
2010-05-05,921,6-16-22-25-27,1,,1721036.61,0.0,6,16,22,25,27
2010-05-08,922,14-19-20-22-24,9,,2060706.49,0.0,14,19,20,22,24
2010-05-12,923,2-3-12-16-17,3,,2342171.22,0.0,2,3,12,16,17
2010-05-15,924,1-2-7-25-28,4,,2763082.42,0.0,1,2,7,25,28
2010-05-19,925,4-8-22-26-35,4,,3128804.69,0.0,4,8,22,26,35
2010-05-22,926,9-21-23-24-30,9,,3565026.73,0.0,9,21,23,24,30
2010-05-26,927,5-12-23-28-34,6,,3993180.86,0.0,5,12,23,28,34
2010-05-29,928,1-7-25-31-33,3,,4599012.62,0.0,1,7,25,31,33
2010-06-02,929,3-13-14-31-34,2,,5170673.15,0.0,3,13,14,31,34
2010-06-05,930,5-8-10-12-27,2,,5860501.78,0.0,5,8,10,12,27
2010-06-09,931,4-7-19-21-30,7,,6637471.35,0.0,4,7,19,21,30
2010-06-12,932,3-4-5-10-13,10,,7.0,1.0,3,4,5,10,13
2010-06-16,933,11-16-25-27-35,5,,,,11,16,25,27,35
2010-06-19,934,1-12-17-21-32,3,,1000000.0,0.0,1,12,17,21,32
2010-06-23,935,2-11-16-27-31,8,,1000000.0,0.0,2,11,16,27,31
2010-06-26,936,11-17-21-33-35,3,,1202421.08,0.0,11,17,21,33,35
2010-06-30,937,6-26-33-34-36,6,,1490055.08,0.0,6,26,33,34,36
2010-07-03,938,3-17-31-34-35,7,,1867266.97,0.0,3,17,31,34,35
2010-07-07,939,5-7-15-30-34,9,,2166736.16,0.0,5,7,15,30,34
2010-07-10,940,6-20-26-28-31,10,,2565810.69,0.0,6,20,26,28,31
2010-07-14,941,1-11-21-30-33,3,,2800000.0,0.0,1,11,21,30,33
2010-07-17,942,10-20-21-31-36,8,,3334618.47,0.0,10,20,21,31,36
2010-07-21,943,2-16-23-31-36,8,,3719582.66,0.0,2,16,23,31,36
2010-07-24,944,1-25-28-31-36,1,,4249461.48,0.0,1,25,28,31,36
2010-07-28,945,2-22-24-27-28,6,,4713274.98,0.0,2,22,24,27,28
2010-07-31,946,4-5-20-28-34,9,,5379363.32,0.0,4,5,20,28,34
2010-08-04,947,3-4-5-32-34,5,,5987288.46,0.0,3,4,5,32,34
2010-08-07,948,2-12-19-27-34,2,,6.0,0.0,2,12,19,27,34
2010-08-11,949,6-23-24-27-32,10,,7.0,0.0,6,23,24,27,32
2010-08-14,950,2-3-16-24-30,9,,8740155.05,0.0,2,3,16,24,30
2010-08-18,951,3-5-9-13-28,7,,9896222.15,0.0,3,5,9,13,28
2010-08-21,952,4-7-22-29-32,3,,11414408.04,0.0,4,7,22,29,32
2010-08-25,953,6-11-12-27-35,3,,13087304.3,1.0,6,11,12,27,35
2010-08-28,954,5-6-25-26-27,3,,1000000.0,0.0,5,6,25,26,27
2010-09-01,955,11-15-23-25-28,9,,1000000.0,0.0,11,15,23,25,28
2010-09-04,956,8-16-23-34-35,6,,1045861.03,0.0,8,16,23,34,35
2010-09-08,957,1-4-8-21-26,5,,1.0,0.0,1,4,8,21,26
2010-09-11,958,5-10-21-23-28,10,,1695180.35,0.0,5,10,21,23,28
2010-09-15,959,2-3-8-27-31,6,,1999535.43,0.0,2,3,8,27,31
2010-09-18,960,3-5-15-19-27,4,,2395873.38,0.0,3,5,15,19,27
2010-09-22,961,1-7-23-25-33,3,,2703578.26,0.0,1,7,23,25,33
2010-09-25,962,8-16-19-23-27,2,,3.0,0.0,8,16,19,23,27
2010-09-29,963,2-9-22-25-35,10,,3.0,0.0,2,9,22,25,35
2010-10-02,964,10-23-31-32-36,2,,3951015.0,0.0,10,23,31,32,36
2010-10-06,965,2-9-12-13-32,4,,4382289.23,0.0,2,9,12,13,32
2010-10-09,966,8-20-24-25-32,3,,4952146.01,0.0,8,20,24,25,32
2010-10-13,967,1-2-13-25-35,1,,5499129.42,0.0,1,2,13,25,35
2010-10-16,968,4-21-29-31-35,10,,6.0,0.0,4,21,29,31,35
2010-10-20,969,29-30-31-34-35,10,,6786863.73,1.0,29,30,31,34,35
2010-10-23,970,13-23-31-33-36,10,,1000000.0,0.0,13,23,31,33,36
2010-10-27,971,3-21-24-28-36,5,,1100000.0,0.0,3,21,24,28,36
2010-10-30,972,1-10-11-25-32,10,,1007057.6,0.0,1,10,11,25,32
2010-11-03,973,1-6-10-33-35,7,,1307425.67,0.0,1,6,10,33,35
2010-11-06,974,1-19-21-24-29,4,,1.0,0.0,1,19,21,24,29
2010-11-10,975,8-10-11-22-26,3,,1.0,0.0,8,10,11,22,26
2010-11-13,976,3-23-29-32-36,3,,2343385.08,0.0,3,23,29,32,36
2010-11-17,977,13-14-27-33-35,7,,2663043.0,0.0,13,14,27,33,35
2010-11-20,978,4-8-21-23-25,5,,3066258.35,0.0,4,8,21,23,25
2010-11-24,979,1-3-4-8-15,5,,3411943.7,0.0,1,3,4,8,15
2010-11-27,980,4-8-28-30-35,5,,3915585.36,0.0,4,8,28,30,35
2010-12-01,981,3-6-16-34-35,2,,4385227.57,0.0,3,6,16,34,35
2010-12-04,982,9-11-22-30-32,1,,4958723.8,0.0,9,11,22,30,32
2010-12-08,983,16-18-21-30-31,10,,5491343.19,0.0,16,18,21,30,31
2010-12-11,984,7-9-21-32-34,8,,6195394.3,0.0,7,9,21,32,34
2010-12-15,985,2-8-12-13-26,6,,6868407.38,0.0,2,8,12,13,26
2010-12-18,986,2-14-15-20-36,3,,7749112.06,0.0,2,14,15,20,36
2010-12-22,987,8-15-20-25-26,8,,8667809.33,0.0,8,15,20,25,26
2010-12-24,988,6-7-13-24-28,3,,9647335.65,0.0,6,7,13,24,28
2010-12-29,989,1-5-11-13-24,7,,10600000.0,2.0,1,5,11,13,24
2011-01-01,990,15-20-22-25-29,3,,1000000.0,0.0,15,20,22,25,29
2011-01-05,991,8-9-19-30-32,8,,1000000.0,0.0,8,9,19,30,32
2011-01-08,992,5-11-20-21-23,2,,1024936.06,0.0,5,11,20,21,23
2011-01-12,993,3-10-12-13-31,3,,1330786.5,0.0,3,10,12,13,31
2011-01-15,994,5-6-10-22-27,3,,1714590.07,0.0,5,6,10,22,27
2011-01-19,995,6-13-19-20-29,3,,2029689.94,0.0,6,13,19,20,29
2011-01-22,996,5-16-19-31-33,7,,2440386.55,0.0,5,16,19,31,33
2011-01-26,997,14-18-25-29-32,10,,2782737.5,0.0,14,18,25,29,32
2011-01-29,998,15-16-18-26-33,5,,3231756.31,0.0,15,16,18,26,33
2011-02-02,999,3-18-26-32-33,1,,3660959.45,0.0,3,18,26,32,33
2011-02-05,1000,1-13-25-27-36,3,,4200859.78,0.0,1,13,25,27,36
2011-02-09,1001,1-9-16-18-36,3,,4622947.97,0.0,1,9,16,18,36
2011-02-12,1002,3-4-5-8-11,5,,5183379.77,1.0,3,4,5,8,11
2011-02-16,1003,6-12-16-17-23,1,,1000000.0,0.0,6,12,16,17,23
2011-02-19,1004,16-17-18-20-30,8,,1000000.0,0.0,16,17,18,20,30
2011-02-23,1005,6-10-17-31-35,6,,1000000.0,0.0,6,10,17,31,35
2011-02-26,1006,7-11-14-18-33,9,,1287587.51,0.0,7,11,14,18,33
2011-03-02,1007,10-11-23-26-35,9,,1602406.95,0.0,10,11,23,26,35
2011-03-05,1008,2-11-23-24-36,4,,1994164.58,0.0,2,11,23,24,36
2011-03-09,1009,10-20-26-33-36,4,,2257170.55,0.0,10,20,26,33,36
2011-03-12,1010,2-6-9-19-27,10,,2662998.2,0.0,2,6,9,19,27
2011-03-16,1011,13-23-24-28-36,8,,3009214.94,0.0,13,23,24,28,36
2011-03-19,1012,2-3-6-12-28,2,,3448771.56,0.0,2,3,6,12,28
2011-03-23,1013,1-15-19-29-31,1,,3827691.88,0.0,1,15,19,29,31
2011-03-26,1014,2-10-16-33-34,1,,4355747.23,0.0,2,10,16,33,34
2011-03-31,1015,3-8-20-25-28,4,,4767575.17,0.0,3,8,20,25,28
2011-04-02,1016,3-4-16-32-35,8,,5311561.62,0.0,3,4,16,32,35
2011-04-06,1017,5-8-17-18-22,1,,5848254.91,0.0,5,8,17,18,22
2011-04-09,1018,12-18-24-32-35,3,,6546352.96,0.0,12,18,24,32,35
2011-04-13,1019,8-13-14-21-35,5,,7227648.02,0.0,8,13,14,21,35
2011-04-16,1020,1-3-7-13-34,10,,8184146.43,0.0,1,3,7,13,34
2011-04-20,1021,13-14-15-27-34,6,,9202034.32,1.0,13,14,15,27,34
2011-04-23,1022,5-18-25-29-36,9,,1000000.0,0.0,5,18,25,29,36
2011-04-27,1023,2-7-16-17-23,8,,1000000.0,0.0,2,7,16,17,23
2011-04-30,1024,12-14-27-29-31,10,,1027071.68,0.0,12,14,27,29,31
2011-05-04,1025,10-11-20-23-34,9,,1345420.47,0.0,10,11,20,23,34
2011-05-07,1026,1-6-9-21-31,7,,1726852.52,0.0,1,6,9,21,31
2011-05-11,1027,1-3-12-24-29,10,,2039817.65,1.0,1,3,12,24,29
2011-05-14,1028,7-10-18-19-24,8,,1000000.0,1.0,7,10,18,19,24
2011-05-18,1029,13-16-27-30-31,4,,1000000.0,0.0,13,16,27,30,31
2011-05-21,1030,2-7-30-34-36,4,,1000000.0,0.0,2,7,30,34,36
2011-05-25,1031,9-28-31-33-34,7,,1000000.0,0.0,9,28,31,33,34
2011-05-28,1032,12-13-15-18-33,8,,1203639.11,1.0,12,13,15,18,33
2011-06-01,1033,9-13-17-28-29,6,,1000000.0,0.0,9,13,17,28,29
2011-06-03,1034,2-7-9-11-36,5,,1000000.0,0.0,2,7,9,11,36
2011-06-08,1035,10-12-23-25-35,6,,1000000.0,0.0,10,12,23,25,35
2011-06-11,1036,1-13-18-21-31,6,,1205190.65,0.0,1,13,18,21,31
2011-06-15,1037,2-5-7-11-14,2,,1476260.63,0.0,2,5,7,11,14
2011-06-18,1038,3-8-13-19-21,10,,1843162.09,0.0,3,8,13,19,21
2011-06-22,1039,11-12-16-21-29,4,,2134102.45,0.0,11,12,16,21,29
2011-06-25,1040,6-9-30-32-33,1,,2506093.19,0.0,6,9,30,32,33
2011-06-29,1041,1-5-6-25-32,2,,2829937.74,0.0,1,5,6,25,32
2011-07-02,1042,6-12-22-26-27,5,,3261319.66,0.0,6,12,22,26,27
2011-07-06,1043,1-3-9-14-31,8,,3636160.22,0.0,1,3,9,14,31
2011-07-09,1044,14-28-29-30-36,5,,4095041.63,0.0,14,28,29,30,36
2011-07-13,1045,5-22-24-29-35,9,,4560048.89,1.0,5,22,24,29,35
2011-07-16,1046,1-12-16-21-29,2,,1000000.0,0.0,1,12,16,21,29
2011-07-20,1047,2-17-21-32-34,1,,1000000.0,0.0,2,17,21,32,34
2011-07-23,1048,18-26-27-35-36,8,,1000000.0,0.0,18,26,27,35,36
2011-07-27,1049,5-10-13-27-30,4,,1241092.38,0.0,5,10,13,27,30
2011-07-30,1050,8-19-23-33-34,1,,1611362.91,0.0,8,19,23,33,34
2011-08-03,1051,11-12-28-32-33,8,,1899284.43,0.0,11,12,28,32,33
2011-08-06,1052,8-16-19-29-32,5,,2285989.04,0.0,8,16,19,29,32
2011-08-10,1053,1-22-26-28-35,6,,2602115.83,0.0,1,22,26,28,35
2011-08-13,1054,12-18-20-23-30,10,,3017891.25,0.0,12,18,20,23,30
2011-08-17,1055,2-17-28-34-36,4,,3369340.79,0.0,2,17,28,34,36
2011-08-20,1056,5-16-22-30-34,3,,3817619.28,0.0,5,16,22,30,34
2011-08-24,1057,4-5-6-21-36,4,,4224537.81,0.0,4,5,6,21,36
2011-08-27,1058,7-10-27-29-30,1,,4822222.9,0.0,7,10,27,29,30
2011-09-01,1059,1-5-11-16-23,9,,7572663.14,1.0,1,5,11,16,23
2011-09-03,1060,14-17-22-28-36,9,,1000000.0,0.0,14,17,22,28,36
2011-09-07,1061,9-23-24-29-34,3,,1000000.0,0.0,9,23,24,29,34
2011-09-10,1062,1-16-23-24-32,1,,1000000.0,0.0,1,16,23,24,32
2011-09-14,1063,2-5-6-13-19,4,,1264490.1,0.0,2,5,6,13,19
2011-09-17,1064,6-17-34-35-36,9,,1636526.34,0.0,6,17,34,35,36
2011-09-21,1065,6-12-16-24-31,9,,1933073.84,0.0,6,12,16,24,31
2011-09-24,1066,1-16-17-24-31,10,,2284040.88,0.0,1,16,17,24,31
2011-09-28,1067,2-9-10-14-19,1,,2607090.91,1.0,2,9,10,14,19
2011-10-01,1068,15-17-19-20-23,10,,1000000.0,0.0,15,17,19,20,23
2011-10-05,1069,4-11-13-18-23,6,,1000000.0,0.0,4,11,13,18,23
2011-10-08,1070,5-10-14-23-24,8,,1000000.0,0.0,5,10,14,23,24
2011-10-12,1071,23-24-27-29-31,10,,1266087.05,0.0,23,24,27,29,31
2011-10-15,1072,1-12-14-15-29,5,,1605610.9,0.0,1,12,14,15,29
2011-10-19,1073,1-8-9-21-34,8,,1899163.85,0.0,1,8,9,21,34
2011-10-22,1074,10-17-25-30-33,3,,2276466.31,0.0,10,17,25,30,33
2011-10-27,1075,19-23-25-30-33,2,,2540729.69,0.0,19,23,25,30,33
2011-10-29,1076,2-3-6-10-12,1,,2800000.0,0.0,2,3,6,10,12
2011-11-02,1077,4-5-8-21-35,8,,3200000.0,0.0,4,5,8,21,35
2011-11-05,1078,4-9-10-14-33,4,,3775518.19,0.0,4,9,10,14,33
2011-11-09,1079,8-12-16-18-30,2,,4189115.65,0.0,8,12,16,18,30
2011-11-12,1080,10-14-23-29-35,10,,4761627.62,0.0,10,14,23,29,35
2011-11-16,1081,3-15-29-30-34,10,,5371162.82,0.0,3,15,29,30,34
2011-11-19,1082,4-5-6-11-23,10,,6135489.17,1.0,4,5,6,11,23
2011-11-23,1083,1-9-10-23-34,4,,1000000.0,0.0,1,9,10,23,34
2011-11-26,1084,2-9-13-29-32,10,,1000000.0,1.0,2,9,13,29,32
2011-11-30,1085,1-13-21-27-34,7,,1000000.0,0.0,1,13,21,27,34
2011-12-03,1086,1-15-16-19-30,4,,1000000.0,0.0,1,15,16,19,30
2011-12-07,1087,9-14-18-19-33,2,,1000000.0,0.0,9,14,18,19,33
2011-12-10,1088,1-4-24-28-32,6,,1298418.74,1.0,1,4,24,28,32
2011-12-14,1089,3-12-16-21-28,7,,1000000.0,0.0,3,12,16,21,28
2011-12-17,1090,1-2-6-22-32,4,,1000000.0,1.0,1,2,6,22,32
2011-12-21,1091,2-6-17-29-32,3,,1000000.0,0.0,2,6,17,29,32
2011-12-24,1092,6-13-24-30-35,1,,1000000.0,0.0,6,13,24,30,35
2011-12-28,1093,13-15-26-32-36,8,,1000000.0,0.0,13,15,26,32,36
2011-12-31,1094,4-7-18-22-35,5,,1322809.46,0.0,4,7,18,22,35
2012-01-04,1095,1-9-13-17-24,6,,1601327.43,0.0,1,9,13,17,24
2012-01-07,1096,7-11-15-16-20,1,,1961453.02,0.0,7,11,15,16,20
2012-01-11,1097,9-15-20-22-25,10,,2276149.41,1.0,9,15,20,22,25
2012-01-14,1098,3-23-25-28-30,5,,1000000.0,0.0,3,23,25,28,30
2012-01-18,1099,2-9-15-24-27,6,,1100000.0,0.0,2,9,15,24,27
2012-01-21,1100,15-18-25-31-34,1,,1200000.0,0.0,15,18,25,31,34
2012-01-25,1101,3-6-7-22-28,8,,1185495.97,0.0,3,6,7,22,28
2012-01-28,1102,15-17-21-26-36,10,,1550421.57,1.0,15,17,21,26,36
2012-02-01,1103,9-16-22-35-36,6,,1000000.0,0.0,9,16,22,35,36
2012-02-04,1104,1-3-10-17-27,10,,1000000.0,0.0,1,3,10,17,27
2012-02-08,1105,14-18-27-28-35,10,,1200000.0,0.0,14,18,27,28,35
2012-02-11,1106,13-25-30-33-34,7,,1287121.42,0.0,13,25,30,33,34
2012-02-15,1107,1-5-9-27-30,10,,1598146.0,0.0,1,5,9,27,30
2012-02-18,1108,10-15-28-29-31,4,,1998756.36,0.0,10,15,28,29,31
2012-02-22,1109,4-14-17-21-25,9,,2260217.74,0.0,4,14,17,21,25
2012-02-25,1110,2-11-20-25-35,7,,2743383.22,0.0,2,11,20,25,35
2012-02-29,1111,4-7-20-27-34,6,,3253910.64,0.0,4,7,20,27,34
2012-03-03,1112,1-16-20-21-28,8,,3.0,1.0,1,16,20,21,28
2012-03-07,1113,8-9-11-19-24,6,,,,8,9,11,19,24
2012-03-10,1114,13-14-26-32-35,1,,,,13,14,26,32,35
2012-03-14,1115,3-4-7-24-29,5,,1000000.0,0.0,3,4,7,24,29
2012-03-17,1116,20-21-22-23-27,2,,1100000.0,0.0,20,21,22,23,27
2012-03-21,1117,6-14-15-18-27,3,,1000000.0,0.0,6,14,15,18,27
2012-03-24,1118,1-6-20-33-36,8,,1366120.44,0.0,1,6,20,33,36
2012-03-28,1119,10-18-23-34-35,9,,1704978.69,0.0,10,18,23,34,35
2012-03-31,1120,5-12-18-30-34,8,,2.0,0.0,5,12,18,30,34
2012-04-04,1121,1-14-19-25-36,9,,2.0,2.0,1,14,19,25,36
2012-04-07,1122,7-13-14-15-31,8,,337746.14,0.0,7,13,14,15,31
2012-04-11,1123,8-10-13-23-29,9,,,,8,10,13,23,29
2012-04-14,1124,14-18-24-31-36,2,,,,14,18,24,31,36
2012-04-18,1125,2-25-26-32-36,6,,1303885.6,0.0,2,25,26,32,36
2012-04-21,1126,12-16-23-31-33,2,,1.0,0.0,12,16,23,31,33
2012-04-25,1127,4-9-10-15-22,6,,2096377.39,0.0,4,9,10,15,22
2012-04-28,1128,1-7-19-21-27,10,,2.0,1.0,1,7,19,21,27
2012-05-02,1129,7-10-15-24-32,7,,,,7,10,15,24,32
2012-05-05,1130,5-7-16-17-24,4,,1000000.0,0.0,5,7,16,17,24
2012-05-09,1131,4-6-14-16-35,1,,1000000.0,0.0,4,6,14,16,35
2012-05-12,1132,1-21-24-26-33,6,,1376598.29,0.0,1,21,24,26,33
2012-05-16,1133,10-11-18-19-20,2,,1717301.41,0.0,10,11,18,19,20
2012-05-19,1134,3-8-19-21-35,8,,2155781.86,0.0,3,8,19,21,35
2012-05-23,1135,2-14-18-20-33,1,,2400000.0,1.0,2,14,18,20,33
2012-05-26,1136,1-4-13-23-27,8,,,,1,4,13,23,27
2012-05-30,1137,6-16-17-19-31,7,,1000000.0,0.0,6,16,17,19,31
2012-06-02,1138,1-2-8-32-33,2,,,,1,2,8,32,33
2012-06-06,1139,10-11-12-26-33,1,,1.0,0.0,10,11,12,26,33
2012-06-09,1140,3-11-24-26-28,2,,1689974.79,0.0,3,11,24,26,28
2012-06-13,1141,2-12-13-26-28,5,,2.0,0.0,2,12,13,26,28
2012-06-16,1142,6-10-12-33-34,10,,2.0,0.0,6,10,12,33,34
2012-06-20,1143,5-19-22-29-30,8,,2957656.16,0.0,5,19,22,29,30
2012-06-23,1144,12-27-28-31-32,5,,3528416.88,0.0,12,27,28,31,32
2012-06-27,1145,2-11-20-22-25,5,,4122482.98,0.0,2,11,20,22,25
2012-06-30,1146,5-6-7-20-27,2,,4893618.76,0.0,5,6,7,20,27
2012-07-04,1147,4-14-30-32-35,7,,5722552.74,0.0,4,14,30,32,35
2012-07-07,1148,16-19-26-29-34,3,,6757001.02,1.0,16,19,26,29,34
2012-07-11,1149,4-18-23-32-36,6,,1000000.0,0.0,4,18,23,32,36
2012-07-14,1150,1-8-19-22-31,4,,1000000.0,0.0,1,8,19,22,31
2012-07-18,1151,8-15-21-22-30,8,,1000000.0,0.0,8,15,21,22,30
2012-07-21,1152,2-17-18-28-34,10,,1390216.12,0.0,2,17,18,28,34
2012-07-25,1153,3-4-10-16-33,10,,1706468.46,0.0,3,4,10,16,33
2012-07-28,1154,14-16-31-33-34,7,,2137845.81,0.0,14,16,31,33,34
2012-08-01,1155,10-12-13-34-35,3,,2480073.78,1.0,10,12,13,34,35
2012-08-04,1156,12-24-29-32-36,2,,1000000.0,0.0,12,24,29,32,36
2012-08-08,1157,8-9-29-30-32,2,,1000000.0,0.0,8,9,29,30,32
2012-08-11,1158,2-11-28-32-36,10,,1000000.0,0.0,2,11,28,32,36
2012-08-15,1159,2-11-14-25-30,5,,1290042.62,1.0,2,11,14,25,30
2012-08-18,1160,4-7-15-26-35,3,,1000000.0,0.0,4,7,15,26,35
2012-08-22,1161,4-10-23-27-29,3,,1000000.0,0.0,4,10,23,27,29
2012-08-25,1162,16-24-25-31-36,10,,,,16,24,25,31,36
2012-08-29,1163,1-5-20-22-36,3,,1000000.0,0.0,1,5,20,22,36
2012-09-01,1164,2-6-33-35-36,8,,1000000.0,0.0,2,6,33,35,36
2012-09-05,1165,2-13-17-20-31,7,,1000000.0,0.0,2,13,17,20,31
2012-09-08,1166,3-6-12-17-33,6,,1306717.5,0.0,3,6,12,17,33
2012-09-12,1167,16-17-19-20-22,1,,1629305.93,1.0,16,17,19,20,22
2012-09-15,1168,9-15-17-26-31,7,,1000000.0,0.0,9,15,17,26,31
