Draw Date,Draw#,Numbers,PowerBall,Multiplier,Jackpot,Wins,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
2012-09-19,1169,1-5-22-25-28,3,,1010193.79,0.0,1,5,22,25,28
2012-09-22,1170,10-23-25-32-35,9,,1681487.0,0.0,10,23,25,32,35
2012-09-26,1171,1-5-14-26-29,3,,2233295.15,0.0,1,5,14,26,29
2012-09-29,1172,17-22-26-32-35,7,,3013033.39,0.0,17,22,26,32,35
2012-10-03,1173,3-6-15-17-24,6,,3823207.93,0.0,3,6,15,17,24
2012-10-06,1174,2-9-13-14-21,1,,4896693.41,0.0,2,9,13,14,21
2012-10-10,1175,11-12-14-21-31,4,,6002162.21,0.0,11,12,14,21,31
2012-10-13,1176,3-7-10-13-27,9,,7686576.78,0.0,3,7,10,13,27
2012-10-17,1177,6-8-18-19-33,5,,9436212.61,0.0,6,8,18,19,33
2012-10-20,1178,17-26-28-31-35,9,,11922881.27,0.0,17,26,28,31,35
2012-10-24,1179,2-3-17-27-34,9,,16792226.96,1.0,2,3,17,27,34
2012-10-27,1180,5-8-17-27-31,10,,2000000.0,0.0,5,8,17,27,31
2012-10-31,1181,14-15-19-25-29,2,,1129071.52,2.0,14,15,19,25,29
2012-11-03,1182,5-11-15-31-35,5,,2000000.0,0.0,5,11,15,31,35
2012-11-07,1183,1-11-24-29-33,9,,2100000.0,0.0,1,11,24,29,33
2012-11-10,1184,7-12-16-18-28,10,,1651451.34,0.0,7,12,16,18,28
2012-11-14,1185,10-15-19-25-26,3,,2065961.06,0.0,10,15,19,25,26
2012-11-17,1186,2-19-30-33-34,7,,2636566.26,0.0,2,19,30,33,34
2012-11-21,1187,2-11-15-20-27,2,,3115912.64,0.0,2,11,15,20,27
2012-11-24,1188,1-15-16-18-32,6,,3692819.08,0.0,1,15,16,18,32
2012-11-28,1189,5-18-19-24-29,9,,4257282.28,0.0,5,18,19,24,29
2012-12-01,1190,20-26-28-32-34,8,,4987528.04,0.0,20,26,28,32,34
2012-12-05,1191,7-15-16-24-32,5,,5649713.5,0.0,7,15,16,24,32
2012-12-08,1192,3-16-25-26-33,8,,6429228.38,0.0,3,16,25,26,33
2012-12-12,1193,7-14-15-19-23,4,,7229042.0,0.0,7,14,15,19,23
2012-12-15,1194,3-5-13-26-32,8,,8184978.48,0.0,3,5,13,26,32
2012-12-19,1195,13-14-23-29-34,7,,9206565.62,1.0,13,14,23,29,34
2012-12-22,1196,22-24-27-29-30,10,,,,22,24,27,29,30
2012-12-26,1197,8-10-11-21-29,4,,2000000.0,0.0,8,10,11,21,29
2012-12-29,1198,11-15-18-22-26,1,,2000000.0,0.0,11,15,18,22,26
2013-01-02,1199,3-6-7-15-19,4,,2000000.0,0.0,3,6,7,15,19
2013-01-05,1200,3-15-27-28-30,4,,2362994.49,0.0,3,15,27,28,30
2013-01-09,1201,8-13-26-30-31,6,,2810028.83,0.0,8,13,26,30,31
2013-01-12,1202,8-13-17-20-23,4,,3357092.08,0.0,8,13,17,20,23
2013-01-16,1203,16-18-25-27-30,4,,3871455.02,0.0,16,18,25,27,30
2013-01-19,1204,13-16-20-28-33,1,,4511959.8,0.0,13,16,20,28,33
2013-01-23,1205,5-8-9-17-34,6,,5138599.28,0.0,5,8,9,17,34
2013-01-26,1206,4-8-19-31-35,3,,5934128.36,0.0,4,8,19,31,35
2013-01-30,1207,4-26-30-31-34,2,,6729930.95,1.0,4,26,30,31,34
2013-02-02,1208,4-17-24-28-34,5,,2000000.0,0.0,4,17,24,28,34
2013-02-06,1209,3-9-12-28-29,8,,2000000.0,0.0,3,9,12,28,29
2013-02-09,1210,7-8-18-24-30,7,,2000000.0,0.0,7,8,18,24,30
2013-02-13,1211,8-11-16-32-33,8,,2000000.0,0.0,8,11,16,32,33
2013-02-16,1212,1-26-27-30-33,10,,2278832.16,0.0,1,26,27,30,33
2013-02-20,1213,3-9-30-31-32,3,,2727997.63,0.0,3,9,30,31,32
2013-02-23,1214,11-18-27-33-35,3,,3305547.78,0.0,11,18,27,33,35
2013-02-27,1215,1-8-10-24-28,9,,3838350.11,0.0,1,8,10,24,28
2013-03-02,1216,5-9-18-30-35,9,,4551471.43,0.0,5,9,18,30,35
2013-03-06,1217,10-15-20-25-34,10,,5237589.26,0.0,10,15,20,25,34
2013-03-09,1218,8-10-12-24-32,3,,6102083.24,1.0,8,10,12,24,32
2013-03-13,1219,11-24-28-30-31,9,,2000000.0,0.0,11,24,28,30,31
2013-03-16,1220,1-3-15-28-29,8,,2000000.0,0.0,1,3,15,28,29
2013-03-20,1221,5-16-20-22-29,8,,2000000.0,0.0,5,16,20,22,29
2013-03-23,1222,6-7-9-12-32,7,,2000000.0,0.0,6,7,9,12,32
2013-03-27,1223,13-17-25-28-32,1,,2313983.18,0.0,13,17,25,28,32
2013-04-03,1224,13-14-16-19-28,7,,2867208.96,0.0,13,14,16,19,28
2013-04-06,1225,4-5-9-22-30,7,,3469066.43,0.0,4,5,9,22,30
2013-04-10,1226,7-13-25-26-27,7,,4060964.04,0.0,7,13,25,26,27
2013-04-13,1227,6-15-18-26-32,8,,4777454.13,0.0,6,15,18,26,32
2013-04-17,1228,4-7-10-20-33,5,,5500000.0,0.0,4,7,10,20,33
2013-04-20,1229,10-11-19-25-26,9,,6402100.9,0.0,10,11,19,25,26
2013-04-24,1230,1-13-16-29-35,6,,7310224.44,0.0,1,13,16,29,35
2013-04-27,1231,10-11-12-28-34,3,,8444705.56,0.0,10,11,12,28,34
2013-05-01,1232,5-14-16-22-30,1,,9983700.1,0.0,5,14,16,22,30
2013-05-04,1233,1-6-22-25-27,7,,11780254.01,0.0,1,6,22,25,27
2013-05-08,1234,1-12-15-24-29,5,,13801306.86,0.0,1,12,15,24,29
2013-05-11,1235,7-9-10-14-27,4,,16144355.46,0.0,7,9,10,14,27
2013-05-15,1236,3-15-19-25-32,9,,20398318.17,1.0,3,15,19,25,32
2013-05-18,1237,2-3-7-9-24,6,,2000000.0,0.0,2,3,7,9,24
2013-05-22,1238,7-11-13-25-26,10,,2000000.0,0.0,7,11,13,25,26
2013-05-25,1239,2-11-14-25-34,6,,2000000.0,0.0,2,11,14,25,34
2013-05-29,1240,4-9-12-14-31,8,,2102374.29,0.0,4,9,12,14,31
2013-06-01,1241,25-29-30-31-34,7,,2630065.81,0.0,25,29,30,31,34
2013-06-05,1242,4-18-26-29-33,6,,3178748.37,0.0,4,18,26,29,33
2013-06-08,1243,7-16-25-26-35,5,,3819653.48,0.0,7,16,25,26,35
2013-06-12,1244,2-5-15-26-30,9,,4400713.86,0.0,2,5,15,26,30
2013-06-15,1245,12-14-17-27-32,6,,5133415.1,1.0,12,14,17,27,32
2013-06-19,1246,3-5-11-21-28,9,,2000000.0,0.0,3,5,11,21,28
2013-06-22,1247,1-7-12-26-33,10,,2000000.0,0.0,1,7,12,26,33
2013-06-26,1248,5-20-22-26-33,1,,2000000.0,0.0,5,20,22,26,33
2013-06-29,1249,3-12-20-29-34,1,,2000000.0,0.0,3,12,20,29,34
2013-07-03,1250,12-17-19-27-34,3,,2312503.93,0.0,12,17,19,27,34
2013-07-06,1251,2-4-7-10-13,7,,2850717.58,0.0,2,4,7,10,13
2013-07-10,1252,4-5-14-19-27,3,,3315641.36,0.0,4,5,14,19,27
2013-07-13,1253,5-8-10-18-22,8,,3916551.87,0.0,5,8,10,18,22
2013-07-17,1254,6-12-18-22-31,10,,4512936.14,1.0,6,12,18,22,31
2013-07-20,1255,5-6-11-12-34,6,,2000000.0,0.0,5,6,11,12,34
2013-07-24,1256,2-7-9-16-22,9,,2000000.0,0.0,2,7,9,16,22
2013-07-27,1257,3-4-8-21-32,6,,2000000.0,0.0,3,4,8,21,32
2013-07-31,1258,1-5-13-19-32,5,,2000000.0,0.0,1,5,13,19,32
2013-08-03,1259,11-12-20-25-31,2,,2337526.02,0.0,11,12,20,25,31
2013-08-07,1260,23-26-28-31-34,4,,2807623.74,0.0,23,26,28,31,34
2013-08-10,1261,3-19-20-24-29,6,,3349391.78,0.0,3,19,20,24,29
2013-08-14,1262,5-10-11-31-32,10,,3877941.82,0.0,5,10,11,31,32
2013-08-17,1263,2-14-24-25-28,6,,4546800.1,0.0,2,14,24,25,28
2013-08-21,1264,14-15-25-27-29,10,,5166943.04,0.0,14,15,25,27,29
2013-08-24,1265,14-20-23-29-33,2,,5961916.76,1.0,14,20,23,29,33
2013-08-28,1266,3-24-26-29-34,7,,2000000.0,0.0,3,24,26,29,34
2013-08-31,1267,1-6-13-23-33,4,,2000000.0,0.0,1,6,13,23,33
2013-09-04,1268,1-6-23-32-35,6,,2000000.0,0.0,1,6,23,32,35
2013-09-07,1269,13-15-26-33-34,1,,2000000.0,0.0,13,15,26,33,34
2013-09-11,1270,4-7-18-21-31,7,,2252201.18,0.0,4,7,18,21,31
2013-09-14,1271,4-13-19-22-23,6,,2818175.17,0.0,4,13,19,22,23
2013-09-18,1272,5-14-24-29-33,3,,3303478.09,0.0,5,14,24,29,33
2013-09-21,1273,6-9-14-21-25,8,,3935598.06,1.0,6,9,14,21,25
2013-09-25,1274,17-19-28-32-34,7,,2000000.0,0.0,17,19,28,32,34
2013-09-28,1275,9-13-14-22-30,4,,2000000.0,0.0,9,13,14,22,30
2013-10-02,1276,3-12-17-32-35,4,,2000000.0,0.0,3,12,17,32,35
2013-10-05,1277,4-8-9-23-29,2,,2000000.0,0.0,4,8,9,23,29
2013-10-09,1278,1-12-19-21-33,8,,2222395.14,0.0,1,12,19,21,33
2013-10-12,1279,3-8-9-29-30,8,,2766715.65,1.0,3,8,9,29,30
2013-10-16,1280,7-9-11-14-34,1,,,,7,9,11,14,34
2013-10-19,1281,1-7-8-20-28,2,,2000000.0,0.0,1,7,8,20,28
2013-10-23,1282,15-24-29-31-34,2,,2000000.0,0.0,15,24,29,31,34
2013-10-26,1283,9-10-15-19-24,1,,,,9,10,15,19,24
2013-10-30,1284,4-14-16-22-26,10,,2.0,0.0,4,14,16,22,26
2013-11-06,1285,4-12-20-21-29,8,,2792566.31,1.0,4,12,20,21,29
2013-11-09,1286,10-13-14-18-34,8,,2000000.0,0.0,10,13,14,18,34
2013-11-13,1287,7-9-13-14-19,6,,,,7,9,13,14,19
2013-11-16,1288,7-9-14-17-26,5,,,,7,9,14,17,26
2013-11-20,1289,13-15-23-25-34,5,,2000000.0,0.0,13,15,23,25,34
2013-11-23,1290,6-12-14-22-35,3,,2249776.62,0.0,6,12,14,22,35
2013-11-27,1291,2-3-10-23-26,7,,2706310.36,0.0,2,3,10,23,26
2013-11-30,1292,15-19-20-23-24,7,,3302566.97,0.0,15,19,20,23,24
2013-12-04,1293,2-16-21-26-27,8,,3835851.11,0.0,2,16,21,26,27
2013-12-07,1294,5-6-14-15-34,2,,4498934.16,0.0,5,6,14,15,34
2013-12-11,1295,11-13-17-21-28,10,,5171400.05,0.0,11,13,17,21,28
2013-12-14,1296,8-15-17-18-30,1,,6046511.11,0.0,8,15,17,18,30
2013-12-18,1297,9-13-15-18-29,2,,6997480.04,0.0,9,13,15,18,29
2013-12-21,1298,9-22-25-27-32,4,,8205698.96,0.0,9,22,25,27,32
2013-12-28,1299,5-7-8-13-15,1,,10189762.12,1.0,5,7,8,13,15
2014-01-01,1300,1-7-14-17-29,1,,2000000.0,0.0,1,7,14,17,29
2014-01-04,1301,8-9-17-30-32,9,,2000000.0,0.0,8,9,17,30,32
2014-01-08,1302,6-12-13-21-24,8,,,,6,12,13,21,24
2014-01-11,1303,8-16-28-29-33,3,,,,8,16,28,29,33
2014-01-15,1304,2-9-17-23-33,2,,2280844.37,0.0,2,9,17,23,33
2014-01-18,1305,15-19-23-29-33,9,,2864111.28,0.0,15,19,23,29,33
2014-01-22,1306,2-4-6-20-35,10,,3352926.81,1.0,2,4,6,20,35
2014-01-25,1307,6-12-14-30-34,4,,,,6,12,14,30,34
2014-01-29,1308,1-10-11-28-29,10,,,,1,10,11,28,29
2014-02-01,1309,3-10-11-16-26,9,,2000000.0,0.0,3,10,11,16,26
2014-02-05,1310,5-17-23-24-35,5,,2000000.0,0.0,5,17,23,24,35
2014-02-08,1311,5-12-19-24-28,9,,2432095.78,0.0,5,12,19,24,28
2014-02-12,1312,4-11-15-20-33,9,,2884034.62,0.0,4,11,15,20,33
2014-02-15,1313,4-14-22-25-27,1,,3456487.4,0.0,4,14,22,25,27
2014-02-19,1314,1-8-10-20-28,1,,3977685.42,0.0,1,8,10,20,28
2014-02-22,1315,11-20-24-27-33,8,,4633921.36,0.0,11,20,24,27,33
2014-02-26,1316,3-13-30-34-35,1,,5294036.7,0.0,3,13,30,34,35
2014-03-01,1317,1-7-11-32-35,5,,6142856.75,0.0,1,7,11,32,35
2014-03-05,1318,5-13-21-24-26,8,,6788752.0,0.0,5,13,21,24,26
2014-03-08,1319,8-14-18-28-32,1,,7927714.44,0.0,8,14,18,28,32
2014-03-12,1320,4-9-25-33-35,4,,9168371.84,0.0,4,9,25,33,35
2014-03-15,1321,2-11-20-30-32,8,,10870296.32,0.0,2,11,20,30,32
2014-03-19,1322,16-17-18-21-31,4,,12641038.69,0.0,16,17,18,21,31
2014-03-22,1323,3-7-15-19-28,8,,14766931.88,0.0,3,7,15,19,28
2014-03-26,1324,1-7-14-26-33,3,,17058164.71,1.0,1,7,14,26,33
2014-03-29,1325,9-15-22-28-30,8,,2000000.0,0.0,9,15,22,28,30
2014-04-02,1326,4-12-13-15-18,2,,,,4,12,13,15,18
2014-04-05,1327,10-17-20-25-26,5,,2000000.0,0.0,10,17,20,25,26
2014-04-09,1328,15-17-18-19-21,10,,2010896.81,0.0,15,17,18,19,21
2014-04-12,1329,9-15-18-29-35,5,,2569359.88,0.0,9,15,18,29,35
2014-04-16,1330,4-10-12-27-28,7,,3085387.78,0.0,4,10,12,27,28
2014-04-19,1331,1-12-17-25-31,5,,3635173.16,0.0,1,12,17,25,31
2014-04-23,1332,4-10-23-26-34,1,,4170827.34,0.0,4,10,23,26,34
2014-04-26,1333,1-5-12-29-33,1,,4897866.19,0.0,1,5,12,29,33
2014-04-30,1334,3-4-31-34-35,8,,5578766.12,0.0,3,4,31,34,35
2014-05-03,1335,8-12-24-29-34,7,,6403445.45,0.0,8,12,24,29,34
2014-05-07,1336,17-22-26-29-32,7,,7168144.39,0.0,17,22,26,29,32
2014-05-10,1337,10-12-24-29-35,1,,8135029.65,0.0,10,12,24,29,35
2014-05-14,1338,6-8-13-18-32,3,,9136569.4,0.0,6,8,13,18,32
2014-05-17,1339,3-4-5-8-25,2,,10335869.34,0.0,3,4,5,8,25
2014-05-21,1340,5-11-15-18-22,6,,11449289.78,0.0,5,11,15,18,22
2014-05-24,1341,2-6-10-15-32,10,,12807483.0,0.0,2,6,10,15,32
2014-05-28,1342,3-16-25-29-31,4,,14220064.79,0.0,3,16,25,29,31
2014-05-31,1343,7-11-15-20-30,4,,15918316.74,1.0,7,11,15,20,30
2014-06-04,1344,4-8-11-25-35,8,,,,4,8,11,25,35
2014-06-07,1345,1-7-20-31-32,8,,2000000.0,0.0,1,7,20,31,32
2014-06-11,1346,12-25-30-31-32,4,,2000000.0,0.0,12,25,30,31,32
2014-06-14,1347,3-6-15-28-29,1,,2000000.0,0.0,3,6,15,28,29
2014-06-18,1348,9-11-15-20-29,6,,2375808.81,0.0,9,11,15,20,29
2014-06-21,1349,15-19-23-28-29,8,,2866561.18,0.0,15,19,23,28,29
2014-06-25,1350,1-20-22-33-34,8,,3334315.25,0.0,1,20,22,33,34
2014-06-28,1351,3-13-16-30-31,6,,3964883.42,0.0,3,13,16,30,31
2014-07-02,1352,13-20-28-29-30,5,,4518839.8,0.0,13,20,28,29,30
2014-07-05,1353,9-13-16-29-30,4,,5198909.35,0.0,9,13,16,29,30
2014-07-09,1354,1-3-14-21-23,6,,5791038.91,0.0,1,3,14,21,23
2014-07-12,1355,2-13-19-28-33,8,,6581242.56,0.0,2,13,19,28,33
2014-07-16,1356,17-21-25-29-34,4,,7344971.65,0.0,17,21,25,29,34
2014-07-19,1357,3-18-21-25-33,2,,8240242.94,0.0,3,18,21,25,33
2014-07-23,1358,5-13-22-25-35,2,,9174727.6,0.0,5,13,22,25,35
2014-07-26,1359,2-4-5-17-34,9,,10312591.01,0.0,2,4,5,17,34
2014-07-30,1360,5-12-15-19-31,10,,11260123.72,0.0,5,12,15,19,31
2014-08-02,1361,3-8-10-12-13,8,,12570699.5,0.0,3,8,10,12,13
2014-08-06,1362,7-17-20-25-33,4,,14008575.38,1.0,7,17,20,25,33
2014-08-09,1363,12-16-18-24-28,5,,,,12,16,18,24,28
2014-08-13,1364,4-12-22-23-25,5,,2000000.0,0.0,4,12,22,23,25
2014-08-16,1365,5-6-7-11-29,6,,,,5,6,7,11,29
2014-08-20,1366,6-10-23-34-35,7,,2000000.0,0.0,6,10,23,34,35
2014-08-23,1367,1-6-8-10-34,8,,2431780.8,0.0,1,6,8,10,34
2014-08-27,1368,7-14-18-19-23,9,,2887858.21,0.0,7,14,18,19,23
2014-08-30,1369,9-13-20-30-31,9,,3502394.01,0.0,9,13,20,30,31
2014-09-03,1370,2-7-26-27-34,1,,4017833.69,0.0,2,7,26,27,34
2014-09-06,1371,12-18-25-26-29,10,,4673268.33,0.0,12,18,25,26,29
2014-09-10,1372,7-10-19-31-34,6,,5248600.96,1.0,7,10,19,31,34
2014-09-13,1373,7-24-25-28-32,4,,,,7,24,25,28,32
2014-09-17,1374,8-22-29-32-35,4,,,,8,22,29,32,35
2014-09-20,1375,12-23-25-26-35,10,,2000000.0,0.0,12,23,25,26,35
2014-09-24,1376,13-19-31-32-33,7,,2000000.0,0.0,13,19,31,32,33
2014-09-27,1377,4-8-9-12-27,5,,2250363.88,1.0,4,8,9,12,27
2014-10-01,1378,6-8-12-23-32,6,,2000000.0,0.0,6,8,12,23,32
2014-10-04,1379,4-7-19-31-35,6,,,,4,7,19,31,35
2014-10-08,1380,1-9-17-28-33,10,,1241707.26,0.0,1,9,17,28,33
2014-10-11,1381,5-17-23-24-34,8,,2000000.0,0.0,5,17,23,24,34
2014-10-15,1382,11-15-27-30-34,5,,2127022.29,0.0,11,15,27,30,34
2014-10-18,1383,2-18-26-29-32,2,,2656610.28,0.0,2,18,26,29,32
2014-10-22,1384,9-25-31-33-34,9,,3099681.74,0.0,9,25,31,33,34
2014-10-25,1385,9-14-20-24-32,7,,3658773.23,0.0,9,14,20,24,32
2014-10-29,1386,8-19-21-32-34,5,,4153658.48,0.0,8,19,21,32,34
2014-11-01,1387,1-9-12-15-30,10,,4826800.02,0.0,1,9,12,15,30
2014-11-05,1388,3-4-8-26-35,2,,5414177.8,0.0,3,4,8,26,35
2014-11-08,1389,2-7-22-23-32,10,,6159540.42,0.0,2,7,22,23,32
2014-11-12,1390,2-24-29-32-33,5,,6836823.28,0.0,2,24,29,32,33
2014-11-15,1391,17-22-27-28-34,6,,7710062.04,0.0,17,22,27,28,34
2014-11-19,1392,2-4-10-22-34,9,,8584821.28,0.0,2,4,10,22,34
2014-11-22,1393,7-8-18-23-30,10,,9671817.28,0.0,7,8,18,23,30
2014-11-26,1394,14-18-24-29-34,9,,10749754.02,1.0,14,18,24,29,34
2014-11-29,1395,8-9-14-15-16,7,,,,8,9,14,15,16
2014-12-03,1396,7-9-14-31-35,7,,2000000.0,0.0,7,9,14,31,35
2014-12-06,1397,6-18-20-29-35,4,,2000000.0,0.0,6,18,20,29,35
2014-12-10,1398,2-3-14-19-29,3,,,,2,3,14,19,29
2014-12-13,1399,4-20-29-30-32,5,,2445400.25,0.0,4,20,29,30,32
2014-12-17,1400,1-14-24-29-35,5,,2887228.11,0.0,1,14,24,29,35
2014-12-20,1401,4-13-19-24-28,2,,3489417.32,0.0,4,13,19,24,28
2014-12-24,1402,9-12-18-21-24,1,,,,9,12,18,21,24
2014-12-27,1403,1-18-19-20-22,10,,4701420.97,0.0,1,18,19,20,22
2014-12-31,1404,0-0-0-0-0,0,,,,0,0,0,0,0
2015-01-03,1405,4-9-15-25-27,10,,6221306.98,0.0,4,9,15,25,27
2015-01-07,1406,5-25-30-32-33,10,,6934248.06,0.0,5,25,30,32,33
2015-01-10,1407,13-21-27-32-35,6,,7807386.75,0.0,13,21,27,32,35
2015-01-14,1408,5-6-27-33-34,6,,8661349.52,0.0,5,6,27,33,34
2015-01-17,1409,2-5-11-18-27,10,,9836190.83,0.0,2,5,11,18,27
2015-01-21,1410,5-22-23-31-32,3,,10874054.8,0.0,5,22,23,31,32
2015-01-24,1411,2-7-13-25-29,3,,12205414.0,0.0,2,7,13,25,29
2015-01-28,1412,1-24-26-31-34,6,,13477352.2,0.0,1,24,26,31,34
2015-01-31,1413,11-15-22-31-35,1,,15138629.9,0.0,11,15,22,31,35
2015-02-04,1414,19-22-25-32-34,5,,16894777.7,1.0,19,22,25,32,34
2015-02-07,1415,5-14-23-30-33,8,,2000000.0,0.0,5,14,23,30,33
2015-02-11,1416,3-4-5-16-28,7,,2000000.0,0.0,3,4,5,16,28
2015-02-14,1417,20-21-22-26-32,1,,2000000.0,0.0,20,21,22,26,32
2015-02-18,1418,1-22-24-30-34,4,,2000000.0,0.0,1,22,24,30,34
2015-02-21,1419,6-11-13-17-29,5,,2326505.95,0.0,6,11,13,17,29
2015-02-25,1420,10-12-26-31-35,10,,2797178.31,0.0,10,12,26,31,35
2015-02-28,1421,1-8-13-15-23,6,,3000000.0,0.0,1,8,13,15,23
2015-03-04,1422,7-11-13-19-31,4,,3000000.0,0.0,7,11,13,19,31
2015-03-07,1423,1-4-5-6-30,5,,4000000.0,0.0,1,4,5,6,30
2015-03-11,1424,4-15-18-19-28,4,,4000000.0,0.0,4,15,18,19,28
2015-03-14,1425,3-5-13-17-34,10,,5982661.19,0.0,3,5,13,17,34
2015-03-18,1426,1-2-18-27-30,7,,6694832.9,1.0,1,2,18,27,30
2015-03-21,1427,6-20-26-27-35,8,,2000000.0,0.0,6,20,26,27,35
2015-03-25,1428,9-13-17-21-33,10,,2000000.0,0.0,9,13,17,21,33
2015-03-28,1429,8-12-14-17-21,8,,2000000.0,0.0,8,12,14,17,21
2015-04-01,1430,1-7-21-25-35,3,,2000000.0,0.0,1,7,21,25,35
2015-04-04,1431,4-14-16-29-33,10,,2372848.59,0.0,4,14,16,29,33
2015-04-08,1432,2-9-12-29-34,3,,2829568.05,0.0,2,9,12,29,34
2015-04-11,1433,3-6-18-32-35,5,,3397703.98,0.0,3,6,18,32,35
2015-04-15,1434,3-15-20-24-31,5,,3925651.82,0.0,3,15,20,24,31
2015-04-18,1435,8-11-15-18-28,8,,4572198.95,1.0,8,11,15,18,28
2015-04-23,1436,3-4-22-28-34,5,,2.0,0.0,3,4,22,28,34
2015-04-25,1437,4-5-19-23-33,6,,2000000.0,0.0,4,5,19,23,33
2015-04-29,1438,1-6-11-12-27,2,,2000000.0,0.0,1,6,11,12,27
2015-05-03,1439,4-14-21-28-35,10,,2.0,0.0,4,14,21,28,35
2015-05-06,1440,5-9-10-23-33,7,,2.0,0.0,5,9,10,23,33
2015-05-09,1441,11-19-22-27-32,4,,2820996.03,0.0,11,19,22,27,32
2015-05-13,1442,6-20-25-26-27,3,,3284752.5,0.0,6,20,25,26,27
2015-05-16,1443,2-12-23-27-30,3,,3.0,0.0,2,12,23,27,30
2015-05-20,1444,3-5-18-25-31,6,,4463826.3,0.0,3,5,18,25,31
2015-05-23,1445,8-12-13-20-28,8,,5152914.08,0.0,8,12,13,20,28
2015-05-27,1446,1-8-9-21-32,8,,5786569.44,1.0,1,8,9,21,32
2015-05-30,1447,1-11-24-25-31,2,,2000000.0,0.0,1,11,24,25,31
2015-06-03,1448,8-19-23-33-34,2,,2000000.0,0.0,8,19,23,33,34
2015-06-06,1449,1-5-16-29-35,6,,2000000.0,0.0,1,5,16,29,35
2015-06-11,1450,11-15-22-26-27,10,,2000000.0,0.0,11,15,22,26,27
2015-06-13,1451,14-19-24-29-32,9,,2350230.6,0.0,14,19,24,29,32
